"subject_uri","target_uri","field","birthYear"
"http://dbpedia.org/resource/Philippe_de_La_Hire","http://dbpedia.org/resource/Mathematics","Mathematics",1640
"http://dbpedia.org/resource/Philippe_de_La_Hire","http://dbpedia.org/resource/Architecture","Architecture",1640
"http://dbpedia.org/resource/Philippe_de_La_Hire","http://dbpedia.org/resource/Astronomy","Astronomy",1640
"http://dbpedia.org/resource/Bernard_Lamy","http://dbpedia.org/resource/Mathematics","Mathematics",1640
"http://dbpedia.org/resource/Jacques_Ozanam","http://dbpedia.org/resource/Mathematician","Mathematician",1640
"http://dbpedia.org/resource/Isaac_Newton","http://dbpedia.org/resource/Physics","Physics",1642
"http://dbpedia.org/resource/Isaac_Newton","http://dbpedia.org/resource/Alchemy","Alchemy",1642
"http://dbpedia.org/resource/Isaac_Newton","http://dbpedia.org/resource/Astronomy","Astronomy",1642
"http://dbpedia.org/resource/Isaac_Newton","http://dbpedia.org/resource/Natural_philosophy","Natural philosophy",1642
"http://dbpedia.org/resource/Seki_Takakazu","http://dbpedia.org/resource/Mathematics","Mathematics",1642
"http://dbpedia.org/resource/Ole_Rømer","http://dbpedia.org/resource/Astronomy","Astronomy",1644
"http://dbpedia.org/resource/Otto_Mencke","http://dbpedia.org/resource/Mathematician","Mathematician",1644
"http://dbpedia.org/resource/Otto_Mencke","http://dbpedia.org/resource/Philosopher","Philosopher",1644
"http://dbpedia.org/resource/Arthur_Storer","http://dbpedia.org/resource/Astronomer","Astronomer",1645
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/resource/Mathematician","Mathematician",1645
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/resource/Scientist","Scientist",1645
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/resource/Jesuit","Jesuit",1645
"http://dbpedia.org/resource/John_Flamsteed","http://dbpedia.org/resource/Astronomy","Astronomy",1646
"http://dbpedia.org/resource/Giovanni_Ceva","http://dbpedia.org/resource/Geometry","Geometry",1647
"http://dbpedia.org/resource/Tommaso_Ceva","http://dbpedia.org/resource/Mathematics","Mathematics",1648
"http://dbpedia.org/resource/Michel_Rolle","http://dbpedia.org/resource/Mathematics","Mathematics",1652
"http://dbpedia.org/resource/Pierre_Varignon","http://dbpedia.org/resource/Mathematics","Mathematics",1654
"http://dbpedia.org/resource/Domenico_Guglielmini","http://dbpedia.org/resource/Mathematics","Mathematics",1655
