,relation,periode,effectif
605,Italy-Brazil,1451-1800,0
606,Italy-Brazil,1801-1850,0
607,Italy-Brazil,1851-1900,0
608,Italy-Brazil,1901-1950,4
609,Italy-Brazil,1951-2000,1
610,Italy-Germany,1451-1800,0
611,Italy-Germany,1801-1850,0
612,Italy-Germany,1851-1900,2
613,Italy-Germany,1901-1950,0
614,Italy-Germany,1951-2000,0
615,Italy-Italy,1451-1800,7
616,Italy-Italy,1801-1850,11
617,Italy-Italy,1851-1900,45
618,Italy-Italy,1901-1950,11
619,Italy-Italy,1951-2000,0
620,Italy-Pakistan,1451-1800,0
621,Italy-Pakistan,1801-1850,0
622,Italy-Pakistan,1851-1900,0
623,Italy-Pakistan,1901-1950,4
624,Italy-Pakistan,1951-2000,0
625,Italy-Romania,1451-1800,0
626,Italy-Romania,1801-1850,0
627,Italy-Romania,1851-1900,1
628,Italy-Romania,1901-1950,2
629,Italy-Romania,1951-2000,0
630,Italy-Saudi Arabia,1451-1800,0
631,Italy-Saudi Arabia,1801-1850,0
632,Italy-Saudi Arabia,1851-1900,0
633,Italy-Saudi Arabia,1901-1950,1
634,Italy-Saudi Arabia,1951-2000,0
635,Italy-United Kingdom,1451-1800,0
636,Italy-United Kingdom,1801-1850,0
637,Italy-United Kingdom,1851-1900,0
638,Italy-United Kingdom,1901-1950,3
639,Italy-United Kingdom,1951-2000,0
640,Italy-United States of America,1451-1800,0
641,Italy-United States of America,1801-1850,0
642,Italy-United States of America,1851-1900,1
643,Italy-United States of America,1901-1950,3
644,Italy-United States of America,1951-2000,0
645,Japan-Canada,1451-1800,0
646,Japan-Canada,1801-1850,0
647,Japan-Canada,1851-1900,0
648,Japan-Canada,1901-1950,1
649,Japan-Canada,1951-2000,0
650,Japan-Japan,1451-1800,0
651,Japan-Japan,1801-1850,0
652,Japan-Japan,1851-1900,0
653,Japan-Japan,1901-1950,26
654,Japan-Japan,1951-2000,7
655,Japan-United States of America,1451-1800,0
656,Japan-United States of America,1801-1850,0
657,Japan-United States of America,1851-1900,0
658,Japan-United States of America,1901-1950,7
659,Japan-United States of America,1951-2000,3
660,Malaysia-Canada,1451-1800,0
661,Malaysia-Canada,1801-1850,0
662,Malaysia-Canada,1851-1900,0
663,Malaysia-Canada,1901-1950,1
664,Malaysia-Canada,1951-2000,0
665,Mexico-France,1451-1800,0
666,Mexico-France,1801-1850,0
667,Mexico-France,1851-1900,1
668,Mexico-France,1901-1950,0
669,Mexico-France,1951-2000,0
670,Mexico-United States of America,1451-1800,0
671,Mexico-United States of America,1801-1850,0
672,Mexico-United States of America,1851-1900,2
673,Mexico-United States of America,1901-1950,0
674,Mexico-United States of America,1951-2000,0
675,Moldova-Russia,1451-1800,0
676,Moldova-Russia,1801-1850,0
677,Moldova-Russia,1851-1900,0
678,Moldova-Russia,1901-1950,1
679,Moldova-Russia,1951-2000,0
680,Morocco-France,1451-1800,0
681,Morocco-France,1801-1850,0
682,Morocco-France,1851-1900,0
683,Morocco-France,1901-1950,0
684,Morocco-France,1951-2000,1
685,Netherlands-Austria,1451-1800,0
686,Netherlands-Austria,1801-1850,0
687,Netherlands-Austria,1851-1900,1
688,Netherlands-Austria,1901-1950,0
689,Netherlands-Austria,1951-2000,0
690,Netherlands-France,1451-1800,0
691,Netherlands-France,1801-1850,0
692,Netherlands-France,1851-1900,0
693,Netherlands-France,1901-1950,0
694,Netherlands-France,1951-2000,1
695,Netherlands-Germany,1451-1800,0
696,Netherlands-Germany,1801-1850,0
697,Netherlands-Germany,1851-1900,0
698,Netherlands-Germany,1901-1950,2
699,Netherlands-Germany,1951-2000,1
700,Netherlands-Netherlands,1451-1800,0
701,Netherlands-Netherlands,1801-1850,0
702,Netherlands-Netherlands,1851-1900,2
703,Netherlands-Netherlands,1901-1950,16
704,Netherlands-Netherlands,1951-2000,2
705,Netherlands-Poland,1451-1800,0
706,Netherlands-Poland,1801-1850,0
707,Netherlands-Poland,1851-1900,0
708,Netherlands-Poland,1901-1950,2
709,Netherlands-Poland,1951-2000,0
710,Netherlands-Switzerland,1451-1800,0
711,Netherlands-Switzerland,1801-1850,0
712,Netherlands-Switzerland,1851-1900,1
713,Netherlands-Switzerland,1901-1950,2
714,Netherlands-Switzerland,1951-2000,0
715,Netherlands-United Kingdom,1451-1800,0
716,Netherlands-United Kingdom,1801-1850,0
717,Netherlands-United Kingdom,1851-1900,0
718,Netherlands-United Kingdom,1901-1950,4
719,Netherlands-United Kingdom,1951-2000,0
720,Netherlands-United States of America,1451-1800,0
721,Netherlands-United States of America,1801-1850,0
722,Netherlands-United States of America,1851-1900,1
723,Netherlands-United States of America,1901-1950,5
724,Netherlands-United States of America,1951-2000,2
725,New Zealand-New Zealand,1451-1800,0
726,New Zealand-New Zealand,1801-1850,0
727,New Zealand-New Zealand,1851-1900,0
728,New Zealand-New Zealand,1901-1950,2
729,New Zealand-New Zealand,1951-2000,1
730,New Zealand-United Kingdom,1451-1800,0
731,New Zealand-United Kingdom,1801-1850,0
732,New Zealand-United Kingdom,1851-1900,0
