"o1","birthYear"
"http://dbpedia.org/resource/Andrew_Porter_(Revolutionary_War_officer)",1743
"http://dbpedia.org/resource/Robert_Hamilton_(economist)",1743
"http://dbpedia.org/resource/Marquis_de_Condorcet",1743
"http://dbpedia.org/resource/Eise_Eisinga",1744
"http://dbpedia.org/resource/Pierre_Méchain",1744
"http://dbpedia.org/resource/Jose_de_Mazarredo_y_Salazar",1745
"http://dbpedia.org/resource/Inō_Tadataka",1745
"http://dbpedia.org/resource/Caspar_Wessel",1745
"http://dbpedia.org/resource/Giuseppe_Piazzi",1746
"http://dbpedia.org/resource/Gaspard_Monge",1746
"http://dbpedia.org/resource/William_Trail",1746
"http://dbpedia.org/resource/Jacques_Charles",1746
"http://dbpedia.org/resource/John_Cranke",1746
"http://dbpedia.org/resource/Johann_Elert_Bode",1747
"http://dbpedia.org/resource/Aida_Yasuaki",1747
"http://dbpedia.org/resource/Dominique,_comte_de_Cassini",1748
"http://dbpedia.org/resource/Pietro_Cossali",1748
"http://dbpedia.org/resource/Charles_de_Tinseau_d'Amondans",1748
"http://dbpedia.org/resource/Jean_Baptiste_Joseph_Delambre",1749
"http://dbpedia.org/resource/Pierre-Simon_Laplace",1749
"http://dbpedia.org/resource/Caroline_Herschel",1750
"http://dbpedia.org/resource/James_King_(Royal_Navy_officer)",1750
"http://dbpedia.org/resource/Gilbert_Romme",1750
"http://dbpedia.org/resource/Isaac_Milner",1750
"http://dbpedia.org/resource/Princess_Charlotte_of_Saxe-Meiningen",1751
"http://dbpedia.org/resource/Abraham_Robertson",1751
"http://dbpedia.org/resource/Barnaba_Oriani",1752
"http://dbpedia.org/resource/Adrien-Marie_Legendre",1752
"http://dbpedia.org/resource/Edward_Pigott",1753
"http://dbpedia.org/resource/Nicola_Fergola",1753
"http://dbpedia.org/resource/Lazare_Carnot",1753
"http://dbpedia.org/resource/Franz_Xaver_von_Zach",1754
"http://dbpedia.org/resource/Andrew_Ellicott",1754
"http://dbpedia.org/resource/Jurij_Vega",1754
"http://dbpedia.org/resource/Gaspard_de_Prony",1755
"http://dbpedia.org/resource/Nicolas_Fuss",1755
"http://dbpedia.org/resource/Marc-Antoine_Parseval",1755
"http://dbpedia.org/resource/Eusebio_Valli",1755
"http://dbpedia.org/resource/Ernst_Chladni",1756
"http://dbpedia.org/resource/Jan_Śniadecki",1756
"http://dbpedia.org/resource/John_West_(mathematician)",1756
"http://dbpedia.org/resource/Thomas_Jones_(mathematician)",1756
"http://dbpedia.org/resource/George_Vancouver",1757
"http://dbpedia.org/resource/Heinrich_Wilhelm_Matthias_Olbers",1758
"http://dbpedia.org/resource/Christian_Karl_August_Ludwig_von_Massenbach",1758
"http://dbpedia.org/resource/Ernst_Friedrich_Knorre",1759
"http://dbpedia.org/resource/Louis_François_Antoine_Arbogast",1759
"http://dbpedia.org/resource/Francisco_de_Borja_Garção_Stockler",1759
"http://dbpedia.org/resource/Jared_Mansfield",1759
"http://dbpedia.org/resource/Pietro_Paoli",1759
"http://dbpedia.org/resource/Shizuki_Tadao",1760
"http://dbpedia.org/resource/Christian_Kramp",1760
"http://dbpedia.org/resource/Auguste-Savinien_Leblond",1760
"http://dbpedia.org/resource/Jean-Louis_Pons",1761
"http://dbpedia.org/resource/Josef_de_Mendoza_y_Ríos",1761
"http://dbpedia.org/resource/Blasius_Merrem",1761
"http://dbpedia.org/resource/José_Joaquín_de_Ferrer",1763
"http://dbpedia.org/resource/John_Goodricke",1764
"http://dbpedia.org/resource/Takahashi_Yoshitoki",1764
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi",1764
"http://dbpedia.org/resource/Karl_Ludwig_Harding",1765
"http://dbpedia.org/resource/Thomas_Norris_(1765–1852)",1765
"http://dbpedia.org/resource/Peter_Nicholson_(architect)",1765
"http://dbpedia.org/resource/Paolo_Ruffini",1765
"http://dbpedia.org/resource/James_Ivory_(mathematician)",1765
"http://dbpedia.org/resource/Sylvestre_François_Lacroix",1765
"http://dbpedia.org/resource/Pierre-Simon_Girard",1765
"http://dbpedia.org/resource/Johann_Friedrich_Pfaff",1765
"http://dbpedia.org/resource/John_Leslie_(physicist)",1766
"http://dbpedia.org/resource/John_Pond",1767
"http://dbpedia.org/resource/Alexis_Bouvard",1767
"http://dbpedia.org/resource/François-Joseph_Servois",1767
"http://dbpedia.org/resource/Francisco_José_de_Caldas",1768
"http://dbpedia.org/resource/Joseph_Fourier",1768
"http://dbpedia.org/resource/Vincenzo_Brunacci",1768
"http://dbpedia.org/resource/François_Français",1768
"http://dbpedia.org/resource/Li_Rui_(mathematician)",1768
"http://dbpedia.org/resource/Jean-Robert_Argand",1768
"http://dbpedia.org/resource/André-Jacques_Garnerin",1769
"http://dbpedia.org/resource/Jean_Nicolas_Pierre_Hachette",1769
"http://dbpedia.org/resource/Johann_Christian_Martin_Bartels",1769
"http://dbpedia.org/resource/William_Gooch_(astronomer)",1770
"http://dbpedia.org/resource/Niccolò_Cacciatore",1770
